"","c1x1","c2x1","c3x1"
"1",4.95835175024687,4.4561625167833,7.58449929905744
"2",4.96029226348655,3.64002910845198,5.50034457414977
"3",5.10518463654333,4.14352787865952,5.4414916091983
"4",5.25101903921598,4.70491532469849,5.55174329530065
"5",4.01563630521793,5.19691091485945,5.66227765617126
"6",4.04029679176156,6.71783418067942,8.22793805240121
"7",5.87236267693715,4.39410254370049,6.19076463393424
"8",2.51962244043371,3.54438069393183,5.60688778160552
"9",4.60105739453401,4.52964816509061,5.64690415931127
"10",5.54238840001371,4.18089376826735,5.12011169826012
"11",7.46544469199234,4.96774787128017,3.53427978297737
"12",3.96874892242773,5.49055623520198,5.97395413661453
"13",6.1417282279783,4.87338550856509,5.60042066087787
"14",4.08278035199353,5.50288119650162,5.84563222090868
"15",4.79298674337694,6.86505279501553,7.70764146792002
"16",5.21276320301534,4.81213072689874,7.31604934642824
"17",5.25023462991837,4.28152113005767,6.45168285393722
"18",6.43431625183378,5.63746618597356,6.18507526591769
"19",5.80300026134674,2.97036687594428,5.7438500887196
"20",5.54176445856972,4.78844180492441,6.76657537767007
"21",3.86732248510163,4.82957474758274,7.37788116402286
"22",4.66324108844584,4.68109489184749,5.8537406632373
"23",5.28033491818846,5.61572698540001,6.6115827327591
"24",3.91555720971162,4.80983345157103,5.76868271707872
"25",5.63690296484421,4.25699625096965,6.16205548076279
"26",7.06406392731825,3.72554802481628,6.76630201702328
"27",5.57297987673394,7.11337106710082,6.579369159667
"28",5.08703288570275,4.78376577763199,5.78958578367057
"29",3.77944471644094,5.61295752815098,6.42727949628425
"30",5.35863820719648,5.84466589582245,6.43385205248804
"31",6.27076596468878,5.42515292362768,7.03329142588112
"32",5.22263389082412,5.41971666537035,6.33908882806676
"33",4.79295442895498,5.37940046255376,5.87017479315072
"34",4.58623910879518,6.59020902993717,5.05529131094293
"35",6.02039753096635,6.32900891799856,5.65992680089935
"36",5.21108955752754,4.7422296486191,5.0918545028931
"37",5.83760972649695,6.40586510213354,5.69752707887032
"38",6.47341450889444,6.3534152075005,6.62831589780088
"39",3.75286810053269,7.1604352615451,6.2576128394876
"40",3.92966343674946,3.43535605898967,7.61446986802891
"41",4.27969460098617,5.67015581912781,5.69289187233122
"42",5.49781194549726,5.75645787637406,6.89464614408092
"43",6.65692276221711,4.73914071367957,4.10880387408561
"44",4.99174207130815,5.2094954653375,7.10288289601327
"45",4.16779485191142,3.04105601865186,6.11536307602788
"46",5.11930706177393,5.20182650045477,4.89510526569769
"47",4.65455168561595,3.90764371332476,7.89036049919225
"48",6.41979274670211,4.78343853257988,5.12094079324328
"49",3.14882158744516,5.15368857233549,5.33818672844065
"50",5.67104524986016,5.90106384375263,6.0279310386578
"51",4.67605587467356,3.52218955778901,6.14479850286403
"52",5.82021252035104,6.0961214584983,5.48964628068825
"53",3.88579429138457,4.25400606243169,7.21187791882999
"54",5.45216189870845,5.69839044568751,5.39251798784386
"55",4.26582846595396,5.66986608936574,4.34070278012991
"56",4.27935883904455,6.35741198576551,5.43283261317505
"57",5.14723850199284,5.33793584124707,5.34223536722044
"58",5.93631768891016,4.29671855145745,5.33068633408207
"59",4.03933342917438,5.26038652638024,6.25447829562688
"60",5.49702322116105,8.00192544915526,8.52807279109487
"61",5.21912628350336,5.81460211418397,6.40081457380804
"62",5.14916093222485,4.07179584599834,4.47646952907052
"63",4.36028600040616,4.316519166084,4.19031185984335
"64",5.27142741714309,5.96080061553126,6.45808234886075
"65",3.8209071293447,5.10188005887245,6.43778674182408
"66",4.89641108203336,4.46519467672503,5.76093843643407
"67",4.70527550004764,6.82234328574709,5.36422615974626
"68",4.54816066737147,5.77215413576657,5.56873859964998
"69",3.82980264111697,5.70924229930091,4.6382545277881
"70",4.76659067118886,5.91289551154917,6.4326006069074
"71",4.84978589535187,3.9147683975397,4.34933017479653
"72",4.36874410053251,4.71364652188691,4.65707796537788
"73",3.44220189242169,6.98175068843741,5.68955724368741
"74",4.37543301119446,4.63478319275164,6.78888283589444
"75",5.90276954914391,5.19497051522435,4.38935744968776
"76",4.57779348594185,5.52080200752221,6.02745040129221
"77",4.7111959166152,5.50103081544713,7.19694349171133
"78",3.90344110034455,3.42927633509551,6.52849513839854
"79",4.53649922658717,7.49147955848251,6.62622674266132
"80",3.43957121171397,5.0918274720813,7.24257520761724
"81",5.13629968204458,5.84950996485391,5.07564350500185
"82",6.76537418884922,5.19950586124181,6.91979018162612
"83",4.76996347132554,5.26666849854211,4.03284106015584
"84",6.01076640838771,3.2241719766657,7.63599292653771
"85",4.87255131781116,6.71400828656675,6.4041318766652
"86",7.27939609985181,2.90185892327939,5.66768582022805
"87",5.2192201678437,3.41941646034077,7.35380449277717
"88",6.98825677814847,5.8173730356315,6.90115245586711
"89",5.03906855077602,6.29599317578912,4.95059526015713
"90",4.42255883033374,4.11197836808267,5.23390149530328
"91",5.03765591929863,4.72439468800188,5.71944450368892
"92",4.38596995350283,6.28204488901299,5.75550921963958
"93",5.15803309836561,5.53122359540593,5.65978115477862
"94",6.83073893165405,5.83994286039016,6.82628970349214
"95",5.30472232227467,3.88454070527504,5.58530906921493
"96",4.95647079633973,4.2188951633481,5.74798481196818
"97",5.09074362814509,5.28771138202594,5.56480672933121
"98",4.92709412097661,4.69488116968124,5.52524260932534
"99",3.24774701400486,5.21747899108463,6.56514529815051
"100",5.14453011895515,7.40065407752631,6.73253296959229
"101",5.93471186356571,4.99292155162579,6.35219335871589
"102",5.25407614622118,2.70229798851996,6.89489963557795
"103",6.36369144726208,4.04287556297651,3.23908500564073
"104",4.18053374250362,3.89994836485394,5.7891617777391
"105",4.98515363473077,6.03549482256995,6.30378431800176
"106",4.29568155580517,7.50197191140775,6.62984522959567
"107",4.1492770101192,6.47710678418765,5.36500447985861
"108",4.6939313952009,4.73684284449086,5.59654141032049
"109",6.29381131359913,5.470000893216,6.76304843618452
"110",3.85719668733612,5.43917071235957,7.27082093333171
"111",5.27466513332754,5.19471815855102,7.49584549420627
"112",4.56150249463713,6.48095162296902,5.78043031535097
"113",6.472169311475,5.3278985613047,5.06717077938795
"114",5.19700457917173,4.14189315624832,8.96663449623486
"115",4.94921883588791,4.98646259843316,5.95422040873231
"116",5.14750321553037,3.20921640772835,5.9523032403434
"117",5.46883265964105,3.99034419744434,6.89567849593176
"118",5.63725629963404,4.85308892112269,6.30506572858847
"119",5.58090714179062,5.1157329977476,5.33541609299157
"120",6.4712067725683,4.76284847554847,6.17800151065356
"121",3.31593767019216,4.99232987107449,7.13646350295568
"122",6.62285664671747,3.83631078184996,5.68048194341502
"123",5.51796940052644,4.5246197452461,5.93962501476457
"124",3.91621899070446,4.0493846669847,6.16517292026137
"125",5.08020572822362,3.71714772365236,5.98804098694374
"126",6.20780959772485,5.18925610342433,6.03763544818085
"127",5.12790003255811,5.38683734447633,6.06019405923071
"128",3.89658871001561,5.06274005268595,7.04657060011013
"129",6.36387908077087,4.35776753226936,6.29329910431423
"130",5.79165234915118,4.81432175137156,5.51946726868053
"131",4.02552193718309,5.49282077475715,7.03874419631979
"132",3.29287213913199,3.0196179852307,6.14376466711461
"133",3.86901994117959,7.19096486734515,5.88792219651532
"134",6.40988500829968,4.27693703450934,6.82269275478119
"135",4.91487223856654,5.21752872110689,5.77976798633315
"136",4.94357445856603,5.3628160763935,6.57520632720608
"137",3.52942725854575,5.5007690553641,6.92462444045665
"138",4.8022279964432,4.221509844861,5.54684252714469
"139",4.14530706117172,4.95956140459178,6.43275910828311
"140",6.22033613559081,6.98679093599961,4.22384213107201
"141",4.52590617969178,6.62255583418239,6.36242817269558
"142",2.95822580167525,5.43421948556143,7.8902326254443
"143",5.68292798447691,6.25613827246683,6.08976416933161
"144",4.5895148781332,5.76015978793959,7.13071920183762
"145",3.57537752593457,4.903831036939,5.19219788312267
"146",5.74295145603558,5.77710737177618,5.5416038899708
