id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9
1,0.00017624560265698132,0.3361744012834779,0.3782816123690194,0.24783442969861744,0.0002594974532453331,0.0005681819457746056,0.036692732945388364,4.9009049091633375e-06,7.997796910767188e-06
2,0.0006385315658769242,2.789294879533076e-05,1.6427977271371107e-05,2.765463233851989e-06,9.301932810785006e-07,8.288107884699598e-05,0.00013318904170685634,0.9989905737280926,0.00010680800289496244
3,0.009989301045463415,0.0010424384169999835,7.388136780285235e-05,0.27014369649430364,0.00019817619457305336,0.6742506383116535,0.013348045664126193,0.027664595945496417,0.003289226559580919
4,0.15574891494517978,0.17181935849662916,0.05250649974598781,0.006205222823145593,0.034737919688493935,0.025506356652424032,0.05017119890879952,0.19271289685328835,0.3105916318860519
5,8.720933023261648e-05,0.3306077213158779,0.5977731939485811,0.05438265584125986,0.0002038170488000779,9.202744203640992e-05,0.016798863909441072,3.5291855527427595e-06,5.09819782180839e-05
6,1.4937734987958307e-05,0.95788064894535,0.040008591074951035,0.0005586463216624223,0.0006778357187507615,0.0001170625025414594,0.0006537035574384635,7.544069676868966e-05,1.3133447549605067e-05
7,5.3208128715802295e-08,0.9688615448104432,0.02859704309486053,0.002530348160956626,1.0193318855583408e-05,4.2895894423602845e-09,4.76548655757063e-08,1.2943664000287942e-07,6.36025660265891e-07
8,6.845919903968589e-08,0.9670290675682578,0.024781429107190483,0.008187500064160044,9.613368486607057e-08,1.8984515905172592e-09,1.7648347957112632e-06,3.080751974764395e-10,7.162618537319553e-08
9,3.7853039462211105e-05,0.4020898010704895,0.5179628112910265,0.028381580057109206,6.744896363717575e-05,0.0005978195521483248,0.05083023933443797,1.2665938780209895e-05,1.978075290881177e-05
10,7.524434480145715e-05,0.3494437528794667,0.5573485278824314,0.09099010247722034,0.0005588798427010179,0.0001336435342569625,0.0009533344953520807,0.00010568666280732518,0.00039082788096274536
11,0.034791144989728795,0.0003775834013727338,6.9388932817877926e-06,0.0007272150078573697,0.0005157534038209427,0.8078380685267277,0.0026715208676112824,0.004018229707210311,0.14905354520238906
12,0.010668713755529255,3.342576597931678e-05,0.0004310089401305973,0.0003415231771388824,2.150326023280854e-05,0.01001494444992461,0.00041242525834782166,0.9650389834960365,0.01303747189668055
13,6.705597871038728e-05,0.7023920484426578,0.27504194880043625,0.0010759433345532627,0.0014844264742278482,0.004969542191188007,0.003429234239969177,0.011521552447900613,1.824809035648318e-05
14,0.048853657034270734,0.00042209433116443005,0.0015512972745312784,1.2382460837964215e-05,8.028010175387151e-06,0.012331706514648036,0.031190187076188192,0.8838624087865246,0.021768238511659384
15,1.035055773277106e-07,0.0009726493273431293,2.5041270704806258e-05,0.00020572987832361705,0.998793043607386,7.878603603505654e-08,2.705492466716025e-07,2.8294488996453108e-06,2.5362648317179176e-07
16,9.03573340520202e-06,0.0033489159563928578,0.0033235475814787324,0.003540186927392226,2.1460495920050215e-05,0.3733518860228381,0.61625882870286,0.00012997461172713483,1.6163967985721432e-05
17,4.3759922871954074e-05,0.00016837526798026101,0.00024327144588014908,9.379281039984246e-06,2.8830226925216052e-05,0.9969967690801416,0.00029141017852976435,0.0010334785683321212,0.001184726028299173
18,0.0007186807831195378,0.6489859169573197,0.2061633209503584,0.1257074183932886,0.0028095901214204625,0.0074439217662074795,0.001952532632126891,0.0005946011331764813,0.0056240172629824685
19,0.008145688491005791,0.7999048619463346,0.1460087856953242,0.009760353663494205,0.009993441060148876,0.0009544444445362977,0.0013139740179465727,0.0072196996051564905,0.016698751076052912
20,5.742580604101465e-07,0.7265859655358223,0.2378323028068445,0.03294407184103005,4.049651629142157e-07,7.527079737760876e-06,0.0026287968575072237,2.0789582509561122e-07,1.4876000977520484e-07
21,0.005003218778969134,3.5792695261568688e-09,1.6565153953623587e-10,6.810510742395678e-07,3.063377211168663e-07,0.994171580684254,0.0002499088623242072,1.4473687803528042e-05,0.0005598268529327148
22,0.0009579191929531053,1.4406220819943415e-06,5.888154631405539e-09,8.816842029065916e-05,1.0166096066831884e-05,0.9948304212052356,0.002963383313616393,0.0010768135557245376,7.168170587637832e-05
23,1.227080369980482e-05,0.4428810771261901,0.5375506339164862,0.0003594036298898872,0.0005263097655578092,0.00291188353495518,0.00037356372045754534,0.015382846066599598,2.011436164220493e-06
24,5.3025330855003416e-05,0.00031676674634307063,0.01608655895693295,8.880541544159296e-07,5.7926769797045135e-08,0.0019013566863203073,0.005133793560623217,0.9765016107693096,5.941968691706297e-06
25,0.0032349752327488035,1.5339424605059992e-07,6.20634715252375e-10,0.0009859844852344872,0.00021274313335775726,0.9884670735903964,0.004415975284114972,0.0025509195574445593,0.00013217470182195706
26,2.855697712212733e-08,0.6959952127439141,0.3010545178136672,0.002947795523799981,1.3115593707508556e-06,7.4255241236391885e-09,7.411090577671139e-08,6.03532926024494e-07,4.4873291500656367e-07
